Source sentence,Answer sentence,Event1,Event2,labels
"The figures include $ 15 million in costs related to a blast furnace outage and $ 8 million in losses from unauthorized work outages at the company 's coal operations . "" We anticipate that steel market conditions will exhibit a further moderate decline in the fourth quarter as the automotive sector remains weak and customers continue to adjust inventories , "" said Bethlehem Chairman Walter F. Williams . ",outage and said have no relationship,outage ,said ,NONE
"Ms. Kolber said the committee had received other bids . Drabinsky and Gottlieb are "" anywhere close "" to arranging financing and that investors will need a solid offer before the stock begins to rise again . ",said and financing have no relationship,said ,financing ,NONE
"Peter Holland , 45 , deputy general manager , becomes director of corporate affairs . A Reuters spokesman said the departure reflects "" no change in strategy or profits . "" ",becomes and change have no relationship,becomes ,change ,NONE
""" That shows he 's nervous about pinpointing his location , either because he 's afraid we 'll find him , or that internal enemies will , "" says one U.S. official . ",afraid is the cause of nervous ,afraid ,nervous ,Cause-Effect
"Although the government said the economy grew an estimated 2.5 % in the third quarter , in line with expectations , analysts are increasingly predicting much more sluggish growth -- and therefore more corporate earnings disappointments -- for the fourth quarter . ",predicting is the cause of disappointments ,predicting ,disappointments ,Cause-Effect
"A spokesman said herbicide use in some areas of the U.S. was delayed earlier in the year by heavy rains , thus increasing sales in the third quarter . Du Pont , unlike companies hurt badly by sharp price declines for basic chemicals and plastics , is benefiting from its broad range of businesses . ",increasing and hurt have no relationship,increasing ,hurt ,NONE
"The in-home health care services provider said it will sell 1.8 million of the new shares , while Home Nutritional Services will sell the remaining 2.2 million . The company said it expects to use the proceeds to repay certain bank debt and for general corporate purposes , including establishing new operating centers and possible acquisitions . ",sell and acquisitions have no relationship,sell ,acquisitions ,NONE
"Meanwhile , the U.S. hopes , economic sanctions and an international arms embargo will remain in effect until Iraq pays war reparations to Kuwait to cover war damages . That would undermine any chances of rebuilding either Iraq or its armed forces in short order as long as Saddam Hussein remains in power . ",embargo is the cause of rebuilding ,embargo ,rebuilding ,Cause-Effect
"Butinstead of providing the votes to strike it down , they chose to uphold it on the flimsy ground that because the sex of the parent and not the child made the difference under the law , the plaintiff did not have standing to bring the case . The opinion , which found the gender distinction reasonable , relied heavily on outmoded generalities about family roles , including the flawed presumption that mothers have a closer relationship to their children than fathers do . ",strike and opinion have no relationship,strike ,opinion ,NONE
Rally 's Inc. said it adopted a shareholders rights plan to protect shareholders from an inadequately priced takeover offer . ,adopted is the cause of offer ,adopted ,offer ,Cause-Effect
"Still , Bethlehem 's core basic steel operations experienced a steep drop in operating profit to $ 58.6 million from $ 186.4 million a year ago , when the industry enjoyed strong demand and pricing . Separately , two more of the nation 's top steelmakers -- Armco Inc. and National Intergroup Inc. -- reported lower operating earnings in their steel businesses , marking what is generally believed to be the end of a two-year boom in the industry . ",drop and boom have no relationship,drop ,boom ,NONE
"The sale , at a higher price than some analysts had expected , helps the food and tobacco giant raise funds to pay debt and boosts Nestle 's 7 % share of the U.S. candy market to about 12 % . ",sale is the cause of boosts ,sale ,boosts ,Cause-Effect
The unit said it can provide no assurance a transaction will occur . Sales rose 2.9 % to $ 329.2 million from $ 320 million . ,transaction and rose have no relationship,transaction ,rose ,NONE
"The warning by the U.S. attorney 's office follows two decisions by the U.S. Supreme Court last June . They also worry that if the government applies asset-forfeiture laws broadly , the best defense lawyers will be unwilling to take criminal cases unless they are assured of being paid . ",warning and assured have no relationship,warning ,assured ,NONE
"Hewlett - Packard affirmed it does n't plan to obtain control of Octel , a Milpitas , Calif . , maker of voice-processing systems . Hewlett - Packard , a Palo Alto , Calif . , computer company , said it acquired the stock "" to develop and maintain a strategic partnership in which each company remains independent while working together to market and sell their products . "" ",obtain and remains have no relationship,obtain ,remains ,NONE
"Earlier this year , DPC Acquisition made a $ 15-a-share offer for Dataproducts , which the Dataproducts board said it rejected because the $ 283.7 million offer was not fully financed . ",financed is the cause of rejected ,financed ,rejected ,Cause-Effect
"The company said the holders represent 52 % of the face amount of the debentures . Waxman Industries Inc. said holders of $ 6,542,000 face amount of its 6 1/4 % convertible subordinated debentures , due March 15 , 2007 , have elected to convert the debt into about 683,000 common shares . ",said and convert have no relationship,said ,convert ,NONE
"The remaining $ 40 million can be used over three years for oil and gas acquisitions , the company said . The Dallas oil and gas concern said that $ 10 million of the facility would be used to consolidate the company 's $ 8.1 million of existing bank debt , to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock , and to purchase a 10 % net-profits interest in certain oil and gas properties from one of its existing lenders , National Canada Corp. ",said and consolidate have no relationship,said ,consolidate ,NONE
